html,straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
kamer-1988224.html,Trompstraat,in Groningen,16 m,,€ 276,p/m | excl. g/w/e,Gestoffeerd,13-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-groningen/trompstraat/kamer-1988224,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1988190.html,De Klomp,in Enschede,18 m,,€ 305,p/m | incl. g/w/e,Kaal,01-12-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-enschede/de-klomp/kamer-1988190,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
appartement-1988151.html,Pleinweg,in Rotterdam,90 m,Totaal 4 kamers,€ 1295,p/m | excl. g/w/e,Gestoffeerd,14-09-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-rotterdam/pleinweg/appartement-1988151,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1988183.html,Orleansplein,in Maastricht,25 m,Totale oppervlakte: 32 m 2,€ 445,p/m | excl. g/w/e,Gestoffeerd,01-11-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-maastricht/orleansplein/kamer-1988183,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
kamer-1988188.html,Grote Belt,in Hoofddorp,12 m,Totale oppervlakte: 50 m 2,€ 600,p/m | incl. g/w/e,Gemeubileerd,20-09-2021 tot 20-10-2022,Gisteren geplaatst,https://kamernet.nl/huren/kamer-hoofddorp/grote-belt/kamer-1988188,"{'Woonkamer': ' Eigen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
kamer-1988377.html,Eierlanden,in Huizen,30 m,Totale oppervlakte: 35 m 2,€ 549,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,13 uur geleden geplaatst,https://kamernet.nl/huren/kamer-huizen/eierlanden/kamer-1988377,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
kamer-1988158.html,De Genestetplein,in Rotterdam,11 m,,€ 430,p/m | incl. g/w/e,Gemeubileerd,01-11-2021 tot 31-12-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-rotterdam/de-genestetplein/kamer-1988158,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1987799.html,Legmeerdijk,in Amstelveen,8 m,,€ 695,p/m | incl. g/w/e,Gemeubileerd,12-09-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amstelveen/legmeerdijk/kamer-1987799,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' In overleg '}"
kamer-1987800.html,Pleinweg,in Rotterdam,16 m,,€ 575,p/m | incl. g/w/e,Gemeubileerd,01-10-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-rotterdam/pleinweg/kamer-1987800,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
appartement-1987803.html,Tiendstraat,in Utrecht,44 m,Totaal 2 kamers (1 slaapkamer) ,€ 975,p/m | incl. g/w/e,Gestoffeerd,15-10-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-utrecht/tiendstraat/appartement-1987803,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
appartement-1987814.html,Zaagmuldersweg,in Groningen,47 m,Totaal 1 kamer (1 slaapkamer) ,€ 1100,p/m | excl. g/w/e,Gestoffeerd,16-11-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-groningen/zaagmuldersweg/appartement-1987814,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Onbekend ', 'Energielabel': ' A ', 'Huisdieren': ' Nee '}"
kamer-1988194.html,Friesestraatweg,in Groningen,17 m,,€ 375,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-groningen/friesestraatweg/kamer-1988194,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
