html,straat,plaats,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
kamer-1861471.html,Louis de Visserstraat,in Amsterdam,Totale oppervlakte: 30 m 2,€ 650,p/m | incl. g/w/e,Gemeubileerd,31-07-22,28 weken geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/louis-de-visserstraat/kamer-1861471,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' C ', 'Huisgenoten': '  3 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
kamer-1860250.html,Bierkade,in Den Haag,,€ 650,p/m | incl. g/w/e,Gemeubileerd,01-04-21,40 weken geleden geplaatst,https://kamernet.nl/huren/kamer-den-haag/bierkade/kamer-1860250,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
appartement-1975090.html,Mariniersweg,in Rotterdam,,€ 550,p/m | incl. g/w/e,Gestoffeerd,01-08-21,5 uur geleden geplaatst,https://kamernet.nl/huren/appartement-rotterdam/mariniersweg/appartement-1975090,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1975060.html,Sluiskolk,in Alphen aan den Rijn,,€ 445,p/m | incl. g/w/e,Gemeubileerd,26-07-2021 tot 27-10-2021,5 uur geleden geplaatst,https://kamernet.nl/huren/kamer-alphen-aan-den-rijn/sluiskolk/kamer-1975060,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
appartement-1959837.html,Verwersdijk,in Delft,Totaal 1 kamer (1 slaapkamer) ,€ 1050,p/m | incl. g/w/e,Gestoffeerd,01-07-2021 tot 30-06-2022,4 weken geleden geplaatst,https://kamernet.nl/huren/appartement-delft/verwersdijk/appartement-1959837,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' D ', 'Huisdieren': ' Nee '}"
appartement-1975091.html,Oude Dijk,in Tilburg,,€ 769,p/m | excl. g/w/e,Gestoffeerd,30-07-21,4 uur geleden geplaatst,https://kamernet.nl/huren/appartement-tilburg/oude-dijk/appartement-1975091,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' C ', 'Huisdieren': ' Nee '}"
kamer-1975089.html,Hogerbeetsstraat,in Rotterdam,,€ 505,p/m | incl. g/w/e,Gemeubileerd,22-08-2021 tot 31-12-2021,4 uur geleden geplaatst,https://kamernet.nl/huren/kamer-rotterdam/hogerbeetsstraat/kamer-1975089,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
kamer-1974936.html,Heezerweg,in Eindhoven,Totale oppervlakte: 50 m 2,€ 289,p/m | excl. g/w/e,Gestoffeerd,01-08-21,Gisteren geplaatst,https://kamernet.nl/huren/kamer-eindhoven/heezerweg/kamer-1974936,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  6 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
appartement-1974536.html,Kabelgaststraat,in Amsterdam,Totaal 4 kamers (3 slaapkamers) ,€ 1750,p/m | excl. g/w/e,Gestoffeerd,01-09-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-amsterdam/kabelgaststraat/appartement-1974536,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Nee ', 'Energielabel': ' B ', 'Huisdieren': ' Nee '}"
studio-1974330.html,Damsterdiep,in Groningen,,€ 835,p/m | incl. g/w/e,Gestoffeerd,01-09-21,3 dagen geleden geplaatst,https://kamernet.nl/huren/studio-groningen/damsterdiep/studio-1974330,"{'Woonkamer': ' Geen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Nee ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1974495.html,Stuurhut,in Groningen,,€ 475,p/m | excl. g/w/e,Gemeubileerd,31-08-2021 tot 01-08-2022,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-groningen/stuurhut/kamer-1974495,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' B ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Nee '}"
studio-1974675.html,Klaverstraat,in Tilburg,Totaal 1 kamer (1 slaapkamer) ,€ 595,p/m | incl. g/w/e,Gestoffeerd,01-08-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/studio-tilburg/klaverstraat/studio-1974675,"{'Woonkamer': ' Geen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1775728.html,Burg. Vogelslaan,in Oisterwijk,,€ 240,p/m | incl. g/w/e,Kaal,20-07-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-oisterwijk/burg.-vogelslaan/kamer-1775728,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1974690.html,Lipperkerkstraat,in Enschede,,€ 200,p/m | incl. g/w/e,Gestoffeerd,20-07-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-enschede/lipperkerkstraat/kamer-1974690,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Ja '}"
kamer-1974680.html,Heemraadssingel,in Rotterdam,Totale oppervlakte: 45 m 2,€ 850,p/m | excl. g/w/e,Gestoffeerd,01-08-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-rotterdam/heemraadssingel/kamer-1974680,"{'Woonkamer': ' Eigen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1974219.html,Prinses Beatrixlaan,in Utrecht,,€ 450,p/m | incl. g/w/e,Gemeubileerd,01-09-21,Gisteren geplaatst,https://kamernet.nl/huren/kamer-utrecht/prinses-beatrixlaan/kamer-1974219,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
kamer-1974677.html,Kaldenkerkerweg,in Tegelen,,€ 225,p/m | incl. g/w/e,Gestoffeerd,01-08-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-tegelen/kaldenkerkerweg/kamer-1974677,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1974418.html,Poolmansweg,in Enschede,,€ 345,p/m | incl. g/w/e,Gemeubileerd,13-09-2021 tot 13-02-2022,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-enschede/poolmansweg/kamer-1974418,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
appartement-1974492.html,Stuurhut,in Groningen,,€ 450,p/m | incl. g/w/e,Gemeubileerd,20-07-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-groningen/stuurhut/appartement-1974492,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' B ', 'Huisdieren': ' Nee '}"
kamer-1952487.html,Amaliastraat,in Enschede,,€ 357,p/m | incl. g/w/e,Gestoffeerd,07-06-21,6 weken geleden geplaatst,https://kamernet.nl/huren/kamer-enschede/amaliastraat/kamer-1952487,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' B ', 'Huisgenoten': '  4  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
