straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails,html
Lessinglaan,in Utrecht,22 m,,â‚¬ 875,p/m | incl. g/w/e,Gemeubileerd,01-10-2021,15 uur geleden geplaatst,https://kamernet.nl/huren/studio-utrecht/lessinglaan/studio-1984664,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}",
Ekangala,in Amsterdam,15 m,,â‚¬ 650,p/m | incl. g/w/e,Gemeubileerd,01-09-2021,15 uur geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/ekangala/kamer-1984638,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}",
Bredalaan,in Eindhoven,35 m,,â‚¬ 685,p/m | incl. g/w/e,Kaal,01-10-2021,15 uur geleden geplaatst,https://kamernet.nl/huren/kamer-eindhoven/bredalaan/kamer-1984694,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}",
Ahuislanden,in Enschede,8 m,Totale oppervlakte: 120 m 2,â‚¬ 365,p/m | incl. g/w/e,Gestoffeerd,01-09-2021,15 uur geleden geplaatst,https://kamernet.nl/huren/kamer-enschede/ahuislanden/kamer-1984639,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}",
Ondiep,in Utrecht,14 m,Totale oppervlakte: 65 m 2,â‚¬ 800,p/m | incl. g/w/e,Gemeubileerd,01-10-2021,15 uur geleden geplaatst,https://kamernet.nl/huren/kamer-utrecht/ondiep/kamer-1984690,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' C ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}",
Verlengde Statenlaan,in Den Bosch,75 m,Totaal 2 kamers,â‚¬ 1250,p/m | excl. g/w/e,Gestoffeerd,01-11-2021,Gisteren geplaatst,https://kamernet.nl/huren/appartement-den-bosch/verlengde-statenlaan/appartement-1984508,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}",
Welnastraat,in Amsterdam,28 m,,â‚¬ 1250,p/m | excl. g/w/e,Gemeubileerd,01-09-2021,Gisteren geplaatst,https://kamernet.nl/huren/studio-amsterdam/welnastraat/studio-1984510,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}",
Stromarkt,in Deventer,100 m,Totaal 1 kamer (1 slaapkamer) ,â‚¬ 1075,p/m | excl. g/w/e,Gestoffeerd,01-09-2021,23 uur geleden geplaatst,https://kamernet.nl/huren/appartement-deventer/stromarkt/appartement-1984552,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}",
Korfoedreef,in Utrecht,16 m,,â‚¬ 650,p/m | incl. g/w/e,Kaal,15-09-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-utrecht/korfoedreef/kamer-1984356,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}",
Wijngaardplein,in Eindhoven,109 m,Totaal 5 kamers,â‚¬ 1300,p/m | excl. g/w/e,Onbekend,31-08-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-eindhoven/wijngaardplein/appartement-1984203,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' In overleg '}",
Elzenstraat,in Tilburg,22 m,,â‚¬ 475,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-tilburg/elzenstraat/kamer-1984143,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}",
Pieter Postsingel,in Amsterdam,11 m,Totale oppervlakte: 65 m 2,â‚¬ 479,p/m | incl. g/w/e,Gestoffeerd,15-09-2021,15 uur geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/pieter-postsingel/kamer-1984667,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' B ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}",
Prinsenstraat,in Leiden,30 m,Totaal 1 kamer (1 slaapkamer) ,â‚¬ 725,p/m | incl. g/w/e,Gestoffeerd,01-09-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-leiden/prinsenstraat/appartement-1984369,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}",
Campuslaan,in Enschede,10 m,,â‚¬ 230,p/m | incl. g/w/e,Gestoffeerd,30-08-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-enschede/campuslaan/kamer-1984147,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}",
Boulevard 1945,in Enschede,15 m,Totale oppervlakte: 100 m 2,â‚¬ 470,p/m | incl. g/w/e,Gestoffeerd,30-08-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-enschede/boulevard-1945/kamer-1984128,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}",
Javastraat,in Enschede,21 m,,â‚¬ 235,p/m | excl. g/w/e,Kaal,30-08-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-enschede/javastraat/kamer-1984145,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Nee ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}",
Zusterstraat,in Den Haag,12 m,Totale oppervlakte: 110 m 2,â‚¬ 491,p/m | incl. g/w/e,Gestoffeerd,06-09-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-den-haag/zusterstraat/kamer-1984135,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Ja '}",
Kanaalstraat,in Utrecht,30 m,Totale oppervlakte: 3 m 2,â‚¬ 800,p/m | incl. g/w/e,Gestoffeerd,30-08-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-utrecht/kanaalstraat/kamer-1984044,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}",
