plaats,te_duur,te_duur,Procent
Aalsmeer,TRUE,1,100
Alkmaar,TRUE,0.6,60
Alkmaar,FALSE,0.4,40
Almere,TRUE,0.875,87.5
Almere,FALSE,0.125,12.5
Alphen aan den Rijn,TRUE,0.666666667,66.66666667
Alphen aan den Rijn,FALSE,0.333333333,33.33333333
Amersfoort,TRUE,0.8,80
Amersfoort,FALSE,0.2,20
Amstelveen,TRUE,0.8,80
Amstelveen,FALSE,0.2,20
Amstenrade,TRUE,1,100
Amsterdam,TRUE,0.946768061,94.67680608
Amsterdam,FALSE,0.053231939,5.323193916
Apeldoorn,FALSE,0.666666667,66.66666667
Apeldoorn,TRUE,0.333333333,33.33333333
Arnhem,TRUE,0.75,75
Arnhem,FALSE,0.25,25
Assen,TRUE,1,100
Badhoevedorp,TRUE,1,100
Barendrecht,FALSE,1,100
Barneveld,TRUE,1,100
Bedum,FALSE,1,100
Beilen,TRUE,1,100
Bemmel,FALSE,1,100
Bergambacht,TRUE,1,100
Bergen op Zoom,TRUE,1,100
Best,TRUE,1,100
Beuningen Gld,TRUE,0.666666667,66.66666667
Beuningen Gld,FALSE,0.333333333,33.33333333
Blokker,TRUE,1,100
Borgercompagnie,TRUE,1,100
Boxmeer,TRUE,1,100
Breda,TRUE,0.85,85
Breda,FALSE,0.15,15
Bussum,TRUE,1,100
Callantsoog,TRUE,1,100
Capelle aan den IJssel,TRUE,0.8,80
Capelle aan den IJssel,FALSE,0.2,20
Cromvoirt,FALSE,1,100
Culemborg,TRUE,1,100
De Bilt,TRUE,1,100
De Meern,TRUE,1,100
Dedemsvaart,FALSE,1,100
Delft,TRUE,0.7875,78.75
Delft,FALSE,0.2125,21.25
Den Bosch,TRUE,1,100
Den Haag,TRUE,0.870967742,87.09677419
Den Haag,FALSE,0.129032258,12.90322581
Den Helder,TRUE,1,100
Deventer,TRUE,0.6,60
Deventer,FALSE,0.4,40
Diemen,TRUE,1,100
Doorn,TRUE,1,100
Dordrecht,TRUE,1,100
Drachten,TRUE,1,100
Driebergen-Rijsenburg,TRUE,1,100
Duivendrecht,TRUE,1,100
Ede,TRUE,1,100
Eelderwolde,TRUE,1,100
Eindhoven,TRUE,0.857142857,85.71428571
Eindhoven,FALSE,0.142857143,14.28571429
Emmen,FALSE,1,100
Enschede,FALSE,0.695652174,69.56521739
Enschede,TRUE,0.304347826,30.43478261
